timestamp,location,ssid,down_mbps,up_mbps,latency_ms,jitter_ms
2026-07-06 15:36:13,Table + 0N 0E,Trails End Wifi,,,,
2026-07-06 15:36:23,Table + 0N 0E,Trails End Wifi,,,,
2026-07-06 15:36:34,Table + 0N 0E,Trails End Wifi,,,,
2026-07-06 16:17:12,Registration Board,Trails End Wifi,599446,240992,375,
2026-07-06 16:17:56,Registration Board,Trails End Wifi,938071,196415,207,
2026-07-06 16:18:39,Registration Board,Trails End Wifi,1003368,331092,144,
2026-07-06 16:32:21,Registration board,Trails End Wifi,403603,94315,492,
2026-07-06 16:33:05,Registration board,Trails End Wifi,693011,0,319,
2026-07-06 16:33:58,Registration board,Trails End Wifi,966577,122454,411,
2026-07-06 16:35:35,Camp Host,Trails End Wifi,1170746,345106,165,
2026-07-06 16:36:26,Camp Host,Trails End Wifi,134164,262676,151,
2026-07-06 16:37:17,Camp Host,Trails End Wifi,1012543,241554,192,
2026-07-06 16:58:28,Orchard Trail Crossiing,Trails End Wifi,427023,548355,272,
2026-07-06 16:59:14,Orchard Trail Crossiing,Trails End Wifi,311801,181086,411,
2026-07-06 17:00:07,Orchard Trail Crossiing,Trails End Wifi,1263585,729373,439,
